"","continent","country","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","positive_rate","people_fully_vaccinated","people_fully_vaccinated_per_hundred","population","population_density","median_age","aged_65_older","gdp_per_capita","human_development_index","democ","polity2","idv","ape","rpe","rpr"
"64","Africa","Eswatini",46387,1242,39566.894,1059.393,NA,232148,19.8,1172369,79.492,21.5,3.163,7738.975,0.611,0,-9,NA,NA,NA,NA
"65","Africa","Ethiopia",362672,6377,3076.719,54.099,0.071,1063412,0.9,117876226,104.957,19.8,3.526,1729.927,0.485,1.4,-2.2,NA,NA,NA,NA
"66","Europe","Faeroe Islands",NA,NA,NA,NA,NA,37402,76.25,49053,35.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Oceania","Fiji",52028,673,57623.278,745.377,NA,541638,59.99,902899,49.562,28.6,6.224,8702.975,0.743,3.2,2,NA,NA,NA,NA
"68","Europe","Finland",154888,1150,27915.992,207.268,0.058,3801150,68.51,5548361,18.136,42.8,21.228,40585.721,0.938,10,10,63,0.790311622619629,1.27124502658844,1.00321788787842
"69","Europe","France",7228331,118452,106984.55,1753.176,0.017,45606061,67.5,67564251,122.578,42,19.718,38605.671,0.901,10,10,71,0.895178961753845,1.37274882793427,0.898231828212738
"70","Oceania","French Polynesia",NA,NA,NA,NA,NA,147185,52.09,282534,77.324,32.7,7.775,NA,NA,NA,NA,NA,NA,NA,NA
"71","Africa","Gabon",34898,230,15314.006,100.929,0.045,91802,4.03,2278829,7.859,23.1,4.45,16562.413,0.703,4,3,NA,NA,NA,NA
"72","Africa","Gambia",9956,339,4003.318,136.312,0.002,203746,8.19,2486937,207.566,17.5,2.339,1561.767,0.496,1.6,-1.4,NA,NA,NA,NA
"73","Asia","Georgia",694182,9788,174427.536,2459.437,0.09,907106,22.79,3979773,65.032,38.7,14.864,9745.079,0.812,8,7,NA,NA,NA,NA
"74","Europe","Germany",4485437,95148,53461.404,1134.058,0.083,55112701,65.69,83900471,237.016,46.6,21.453,45229.245,0.947,10,10,67,NA,NA,NA
"75","Africa","Ghana",129948,1172,4095.156,36.934,0.047,825706,2.6,31732128,126.719,21.1,3.385,4227.63,0.611,8,8,NA,NA,NA,NA
"76","Europe","Gibraltar",NA,NA,NA,NA,NA,39803,118.14,33691,3457.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Europe","Greece",720295,15682,69454.495,1512.138,0.017,6346512,61.2,10370747,83.479,45.3,20.396,24574.382,0.888,10,10,35,NA,NA,NA
"78","North America","Greenland",NA,NA,NA,NA,NA,36953,64.98,56868,0.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","North America","Grenada",5817,196,51471.044,1734.283,NA,30284,26.8,113015,317.132,29.4,7.304,13593.877,0.779,NA,NA,NA,NA,NA,NA
"80","North America","Guatemala",595067,14748,32606.647,808.115,0.099,3134252,17.17,18249868,157.834,22.9,4.694,7423.808,0.663,8.8,8,6,NA,NA,NA
"81","Europe","Guernsey",NA,NA,NA,NA,NA,NA,NA,67052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Africa","Guinea",30642,385,2270.242,28.524,NA,691551,5.12,13497237,51.755,19,3.135,1998.926,0.477,4,4,NA,NA,NA,NA
"83","Africa","Guinea-Bissau",6131,141,3041.94,69.958,NA,10448,0.52,2015490,66.191,19.4,3.002,1548.675,0.48,7,6,NA,NA,NA,NA
"84","South America","Guyana",35104,897,44416.945,1134.97,NA,235081,29.74,790329,3.952,26.3,5.305,7435.047,0.682,7.6,6.8,NA,NA,NA,NA
"85","North America","Haiti",23619,662,2046.409,57.357,NA,28941,0.25,11541683,398.448,24.3,4.8,1653.173,0.51,6,3,NA,NA,NA,NA
"86","North America","Honduras",374148,10191,37180.585,1012.72,NA,2764643,27.47,10062994,82.805,24.9,4.652,4541.795,0.634,7,7,NA,NA,NA,NA
"87","Asia","Hong Kong",12327,213,1632.11,28.201,0,4395742,58.2,7552800,7039.714,44.8,16.303,56054.92,0.949,NA,NA,25,NA,NA,NA
"88","Europe","Hungary",850513,30567,88280.953,3172.772,0.12,5721531,59.39,9634162,108.043,43.4,18.577,26777.561,0.854,10,10,80,0.614689302444458,0.800358366966248,1.04188718795776
"89","Europe","Iceland",13142,33,38274.697,96.109,NA,278276,81.04,343360,3.404,37.3,14.431,46482.958,0.949,NA,NA,NA,NA,NA,NA
"90","Asia","India",34202202,455068,24545.701,326.586,0.011,305705808,21.94,1393409033,450.419,28.2,5.989,6426.674,0.645,9,9,48,0.606407034397125,1.11422770023346,0.667826306819916
"91","Asia","Indonesia",4240479,143235,15343.941,518.288,NA,68264009,24.7,276361788,145.725,29.3,5.319,11188.744,0.718,9,9,14,NA,NA,NA
"92","Asia","Iran",5868360,125363,69016.178,1474.36,0.096,30139400,35.45,85028760,49.831,32.4,5.44,19082.62,0.783,0,-7,41,NA,NA,NA
"93","Asia","Iraq",2047811,22993,49729.074,558.362,0.08,3351014,8.14,41179351,88.125,20,3.186,15663.986,0.674,6,6,NA,NA,NA,NA
"94","Europe","Ireland",431722,5369,86640.642,1077.484,0.089,3741731,75.09,4982904,69.874,38.7,13.928,67335.293,0.955,10,10,70,NA,NA,NA
"95","Europe","Isle of Man",NA,NA,NA,NA,NA,64336,75.33,85410,147.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Asia","Israel",1324040,8062,150634.1,917.202,0.01,5718253,65.06,8789776,402.606,30.6,11.733,33132.32,0.919,7,6,54,0.773044276237488,0.960005378723145,1.13839914798737
"97","Europe","Italy",4743720,131856,78580.731,2184.223,0.007,42807146,70.91,60367471,205.859,47.9,23.021,35220.084,0.892,10,10,76,0.801420831680298,0.909890580177307,0.683164715766907
"98","North America","Jamaica",88431,2183,29740.081,734.161,0.103,361567,12.16,2973462,266.879,31.4,9.684,8193.571,0.734,9,9,39,0.735781955718994,1.62328763008118,0.933928227424622
"99","Asia","Japan",1717851,18214,13628.244,144.497,0.008,88797909,70.45,126050796,347.778,48.2,27.049,39002.223,0.919,10,10,46,0.862690556049347,0.929986894130707,1.02589025497437
"100","Europe","Jersey",NA,NA,NA,NA,NA,74457,73.67,101073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Asia","Jordan",853012,10965,83066.528,1067.775,0.044,3479694,33.89,10269022,109.285,23.2,3.81,8337.49,0.729,2,-3,NA,NA,NA,NA
"102","Asia","Kazakhstan",1009918,16957,53167.688,892.711,NA,7329137,38.58,18994958,6.681,30.6,6.991,24055.588,0.825,0,-6,NA,NA,NA,NA
"103","Africa","Kenya",252688,5260,4595.522,95.661,NA,1430758,2.6,54985702,87.324,20,2.686,2993.028,0.601,9,9,NA,NA,NA,NA
"104","Oceania","Kiribati",2,NA,16.476,NA,NA,11253,9.27,121388,143.701,23.2,3.895,1981.132,0.63,NA,NA,NA,NA,NA,NA
"105","Europe","Kosovo",160638,2975,90481.013,1675.699,0.006,697728,39.3,1775378,168.155,NA,NA,9795.834,NA,8,8,NA,NA,NA,NA
"106","Asia","Kuwait",412557,2461,95310.604,568.55,0.002,NA,NA,4328553,232.128,33.7,2.345,65530.537,0.806,0,-7,NA,NA,NA,NA
"107","Asia","Kyrgyzstan",180629,2655,27250.987,400.552,NA,721857,10.89,6628347,32.333,26.3,4.489,3393.474,0.697,7.4,7.4,NA,NA,NA,NA
"108","Asia","Laos",36248,53,4912.08,7.182,0.186,2698846,36.57,7379358,29.715,24.4,4.029,6397.36,0.613,0,-7,NA,NA,NA,NA
"109","Europe","Latvia",203460,3049,108980.821,1633.159,0.137,977902,52.38,1866934,31.212,43.9,19.754,25063.846,0.866,8,8,70,NA,NA,NA
"110","Asia","Lebanon",638054,8459,94259.088,1249.64,NA,1461509,21.59,6769151,594.561,31.1,8.514,13367.565,0.744,6,6,NA,NA,NA,NA
