"","continent","country","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","positive_rate","people_fully_vaccinated","people_fully_vaccinated_per_hundred","population","population_density","median_age","aged_65_older","gdp_per_capita","human_development_index","democ","polity2","idv","ape","rpe","rpr"
"182","Europe","Spain",5002217,87186,107010.256,1865.132,0.023,37234272,79.65,46745211,93.105,45.5,19.436,34272.36,0.904,10,10,51,NA,NA,NA
"183","Asia","Sri Lanka",536645,13640,24963.361,634.498,0.113,13156574,61.2,21497306,341.955,34.1,10.069,11669.077,0.782,6.4,5.4,NA,NA,NA,NA
"184","Africa","Sudan",40433,3099,900.325,69.006,NA,NA,NA,44909351,23.258,19.7,3.548,4466.507,0.51,0,-4,NA,NA,NA,NA
"185","South America","Suriname",48334,1064,81673.138,1797.911,NA,195485,33.03,591798,3.612,29.6,6.933,13767.119,0.738,6,5,47,0.509607708454132,0.886011981964111,0.812580347061157
"186","Europe","Sweden",1165996,14993,114761.59,1475.666,0.029,6845102,67.37,10160159,24.718,41,19.985,46949.283,0.945,10,10,71,0.792089676856995,1.21320462226868,1.04846441745758
"187","Europe","Switzerland",865708,11193,99329.768,1284.265,0.061,5450816,62.54,8715494,214.243,43.1,18.436,57410.166,0.955,10,10,68,NA,NA,NA
"188","Asia","Syria",41799,2517,2287.135,137.724,NA,407405,2.23,18275704,NA,21.7,NA,NA,0.567,0,-9,NA,NA,NA,NA
"189","Asia","Taiwan",16376,847,686.481,35.506,0,6678571,28,23855008,NA,42.2,NA,NA,NA,10,10,17,NA,NA,NA
"190","Asia","Tajikistan",17486,125,1793.505,12.821,NA,2106807,21.61,9749625,64.281,23.3,3.466,2896.913,0.668,1,-3,NA,NA,NA,NA
"191","Africa","Tanzania",26115,725,424.645,11.789,NA,885579,1.44,61498438,64.699,17.7,3.108,2683.304,0.529,3.6,2.2,NA,NA,NA,NA
"192","Asia","Thailand",1859157,18799,26578.05,268.746,0.208,26474522,37.85,69950844,135.132,40.1,11.373,16277.671,0.777,0,-3,20,0.45442214012146,0.943017637729645,1.18846831321716
"193","Asia","Timor",19774,121,14714.166,90.038,0.035,335482,24.96,1343875,87.176,18,3.556,6570.102,0.606,9,8,NA,NA,NA,NA
"194","Africa","Togo",26000,242,3066.673,28.544,0.012,419768,4.95,8478242,143.366,19.4,2.839,1429.813,0.515,1,-2,NA,NA,NA,NA
"195","Oceania","Tokelau",NA,NA,NA,NA,NA,968,70.76,1368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Oceania","Tonga",NA,NA,NA,NA,NA,33458,31.34,106759,150.028,22.3,5.82,5425.621,0.725,NA,NA,NA,NA,NA,NA
"197","North America","Trinidad and Tobago",55798,1650,39759.893,1175.738,NA,585737,41.74,1403374,266.886,36.2,10.014,28763.071,0.796,10,10,16,NA,NA,NA
"198","Africa","Tunisia",711821,25155,59637.657,2107.532,0.028,4342563,36.38,11935764,74.228,32.7,8.001,10849.297,0.74,7,7,NA,NA,NA,NA
"199","Asia","Turkey",7879438,69344,92652.687,815.402,0.079,48218503,56.7,85042736,104.914,31.6,8.153,25129.341,0.82,1.6,-1.2,37,0.667516005039215,0.840688288211823,0.833843553066254
"200","Africa","Uganda",125758,3200,2668.688,67.907,0.021,415486,0.88,47123533,213.759,16.4,2.168,1697.707,0.544,1,-1,NA,NA,NA,NA
"201","Europe","Ukraine",2913666,68365,67031.954,1572.809,0.332,7058802,16.24,43466822,77.39,41.4,16.462,7894.393,0.779,5,4,NA,NA,NA,NA
"202","Asia","United Arab Emirates",739381,2131,74004.089,213.29,0,8604768,86.12,9991083,112.442,34,1.144,67293.483,0.89,0,-8,NA,NA,NA,NA
"203","Europe","United Kingdom",8851104,139990,129768.047,2052.425,0.052,45561445,66.8,68207114,272.898,40.8,18.517,39753.244,0.932,8.8,8.8,89,0.726771080493927,0.969803309440613,1.03214688301086
"204","North America","United States",45547158,737342,136813.144,2214.805,0.063,190699790,56.7,332915074,35.608,38.3,15.413,54225.446,0.926,8.8,8.8,91,0.71858137845993,0.753597402572632,0.897194874286652
"205","South America","Uruguay",392319,6073,112568.691,1742.535,0.019,2615742,75.05,3485152,19.751,35.6,14.655,20551.409,0.817,10,10,36,NA,NA,NA
"206","Asia","Uzbekistan",183928,1306,5419.887,38.484,NA,5882086,17.33,33935765,76.134,28.2,4.469,6253.104,0.72,0,-9,NA,NA,NA,NA
"207","Oceania","Vanuatu",4,1,12.72,3.18,NA,30554,9.72,314464,22.662,23.1,4.394,2921.909,0.609,NA,NA,NA,NA,NA,NA
"208","Europe","Vatican",27,NA,33251.232,NA,NA,NA,NA,812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","South America","Venezuela",401259,4822,13978.74,167.985,NA,NA,NA,28704947,36.253,29,6.614,16745.022,0.711,2.8,1.2,12,0.631664663553238,1.09486731886864,1.05941920280457
"210","Asia","Vietnam",892579,21738,9092.285,221.435,0.037,21045837,21.44,98168829,308.127,32.6,7.15,6171.884,0.704,0,-7,20,NA,NA,NA
"211","Oceania","Wallis and Futuna",NA,NA,NA,NA,NA,5464,49.25,11094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Asia","Yemen",9694,1850,317.934,60.674,NA,NA,NA,30490639,53.508,20.3,2.922,1479.147,0.47,NA,0,NA,NA,NA,NA
"213","Africa","Zambia",209639,3659,11079.901,193.387,0.003,511004,2.7,18920657,22.995,17.7,2.48,3689.251,0.584,6.4,6.4,NA,NA,NA,NA
"214","Africa","Zimbabwe",132688,4673,8791.843,309.631,0.013,2560938,16.97,15092171,42.729,19.6,2.822,1899.775,0.571,5,4,NA,NA,NA,NA
